,Unnamed: 0.1,Unnamed: 0,listing_type,unit_description,detailed_url,latitude,longitude,unit_address,unit_address_street,unit_city,unit_zipcode,beds,baths,area,price,unit_number
454,454.0,454.0,nested,For Rent,/b/643-w-171st-st-new-york-ny-2MMg/,40.843826,-73.94004,"643 W 171st St, New York, NY",643 W  171st St Apt 35A,New York,10032,,,,,
455,455.0,455.0,nested,Apartment for rent,https://www.zillow.com/homedetails/596-Edgecombe-Ave-7B-New-York-NY-10032/343764494_zpid/,40.83555,-73.937775,"596 Edgecombe Ave #7B, New York, NY 10032",596 Edgecombe Ave #7B,New York,10032,,,,,
456,456.0,456.0,nested,Apartment for rent,https://www.zillow.com/homedetails/881-10th-Ave-3U-New-York-NY-10019/343804839_zpid/,40.76945,-73.98854,"881 10th Ave #3U, New York, NY 10019",881 10th Ave #3U,New York,10019,,,,,
457,457.0,457.0,nested,Apartment for rent,https://www.zillow.com/homedetails/44-Bennett-Ave-48-New-York-NY-10033/343993988_zpid/,40.851963,-73.93605,"44 Bennett Ave #48, New York, NY 10033",44 Bennett Ave #48,New York,10033,,,,,
458,458.0,458.0,nested,Apartment for rent,https://www.zillow.com/homedetails/1332-3rd-Ave-FLOOR-2-New-York-NY-10075/344702061_zpid/,40.772625,-73.958916,"1332 3rd Ave FLOOR 2, New York, NY 10075",1332 3rd Ave FLOOR 2,New York,10075,,,,,
459,459.0,459.0,nested,Apartment for rent,https://www.zillow.com/homedetails/160-Vermilyea-Ave-APT-1C-New-York-NY-10034/344725589_zpid/,40.86715,-73.91957,"160 Vermilyea Ave APT 1C, New York, NY 10034",160 Vermilyea Ave APT 1C,New York,10034,,,,,
460,460.0,460.0,regular,Apartment for rent,https://www.zillow.com/homedetails/738-W-187th-St-APT-3A-New-York-NY-10033/345087384_zpid/,40.854786,-73.93555,"738 W 187th St APT 3A, New York, NY 10033",738 W 187th St APT 3A,New York,10033,2.0,1.0,1000.0,2600.0,
461,461.0,461.0,nested,For Rent,/b/235-e-117th-st-new-york-ny-2GpQ/,40.798153,-73.9384,"235 E 117th St, New York, NY",235 E  117th St   Apt 4A,New York,10035,,,,,
462,462.0,462.0,nested,For Rent,/b/2586-broadway-new-york-ny-9VnHHS/,40.795597,-73.970764,"2586 Broadway, New York, NY",2586 Broadway # 4M,New York,10025,,,,,
463,463.0,463.0,regular,Apartment for rent,https://www.zillow.com/homedetails/55-E-117th-St-APT-3-New-York-NY-10035/2060353768_zpid/,40.80057,-73.943535,"55 E 117th St APT 3, New York, NY 10035",55 E 117th St APT 3,New York,10035,2.0,1.0,1000.0,2600.0,
464,464.0,464.0,regular,Apartment for rent,https://www.zillow.com/homedetails/232-E-95th-St-APT-4D-New-York-NY-10128/2066990604_zpid/,40.78363,-73.9483,"232 E 95th St APT 4D, New York, NY 10128",232 E 95th St APT 4D,New York,10128,0.0,1.0,500.0,2600.0,
465,465.0,465.0,nested,Apartment for rent,https://www.zillow.com/homedetails/235-W-63rd-St-APT-1E-New-York-NY-10023/2082153519_zpid/,40.77384,-73.98737,"235 W 63rd St APT 1E, New York, NY 10023",235 W 63rd St APT 1E,New York,10023,,,,,
466,466.0,466.0,nested,Apartment for rent,https://www.zillow.com/homedetails/144-E-7th-St-APT-A12-New-York-NY-10009/2084185997_zpid/,40.725513,-73.98283,"144 E 7th St APT A12, New York, NY 10009",144 E 7th St APT A12,New York,10009,,,,,
467,467.0,467.0,nested,Apartment for rent,https://www.zillow.com/homedetails/412-E-65th-St-APT-4G-New-York-NY-10065/2088518543_zpid/,40.762783,-73.95811,"412 E 65th St APT 4G, New York, NY 10065",412 E 65th St APT 4G,New York,10065,,,,,
468,468.0,468.0,nested,Apartment for rent,https://www.zillow.com/homedetails/229-W-15th-St-APT-1D-New-York-NY-10011/2090399127_zpid/,40.73997,-74.000305,"229 W 15th St APT 1D, New York, NY 10011",229 W 15th St APT 1D,New York,10011,,,,,
469,469.0,469.0,nested,For Rent,/b/137-w-137th-st-new-york-ny-5XjYWS/,40.81634,-73.94155,"137 W 137th St, New York, NY",137 W  137th St   Apt 2J,New York,10030,,,,,
470,470.0,470.0,nested,Apartment for rent,https://www.zillow.com/homedetails/691-10th-Ave-APT-6-New-York-NY-10036/2098386619_zpid/,40.7631,-73.99335,"691 10th Ave APT 6, New York, NY 10036",691 10th Ave APT 6,New York,10036,,,,,
471,471.0,471.0,nested,Apartment for rent,https://www.zillow.com/homedetails/167-W-76th-St-APT-GF-New-York-NY-10023/2099287087_zpid/,40.781124,-73.97898,"167 W 76th St APT GF, New York, NY 10023",167 W 76th St APT GF,New York,10023,,,,,
472,472.0,472.0,nested,Apartment for rent,https://www.zillow.com/homedetails/720-W-181st-St-APT-33-New-York-NY-10033/2101175759_zpid/,40.850235,-73.93694,"720 W 181st St APT 33, New York, NY 10033",720 W 181st St APT 33,New York,10033,,,,,
473,473.0,473.0,nested,Apartment for rent,https://www.zillow.com/homedetails/102-Convent-Ave-APT-32-New-York-NY-10027/2101659327_zpid/,40.816883,-73.952866,"102 Convent Ave APT 32, New York, NY 10027",102 Convent Ave APT 32,New York,10027,,,,,
474,474.0,474.0,nested,Apartment for rent,https://www.zillow.com/homedetails/1654-3rd-Ave-APT-22-New-York-NY-10128/2104007975_zpid/,40.783108,-73.951256,"1654 3rd Ave APT 22, New York, NY 10128",1654 3rd Ave APT 22,New York,10128,,,,,
475,475.0,475.0,nested,Apartment for rent,https://www.zillow.com/homedetails/1661-York-Ave-APT-4D-New-York-NY-10128/2105582537_zpid/,40.77694,-73.94675,"1661 York Ave APT 4D, New York, NY 10128",1661 York Ave APT 4D,New York,10128,,,,,
476,476.0,476.0,nested,Apartment for rent,https://www.zillow.com/homedetails/213-Bennett-Ave-APT-3E-New-York-NY-10040/2107126420_zpid/,40.857338,-73.93309,"213 Bennett Ave APT 3E, New York, NY 10040",213 Bennett Ave APT 3E,New York,10040,,,,,
477,477.0,477.0,nested,Apartment for rent,https://www.zillow.com/homedetails/532-W-175th-St-APT-1-New-York-NY-10033/2107434674_zpid/,40.84453,-73.93506,"532 W 175th St APT 1, New York, NY 10033",532 W 175th St APT 1,New York,10033,,,,,
478,478.0,478.0,regular,Apartment for rent,https://www.zillow.com/homedetails/460-W-145th-St-1-New-York-NY-10031/2108622097_zpid/,40.824707,-73.94708,"460 W 145th St #1, New York, NY 10031",460 W 145th St #1,New York,10031,1.0,1.0,750.0,2600.0,
479,479.0,479.0,nested,Apartment for rent,https://www.zillow.com/homedetails/78-E-3rd-St-APT-2D-New-York-NY-10003/2108634821_zpid/,40.724777,-73.98855,"78 E 3rd St APT 2D, New York, NY 10003",78 E 3rd St APT 2D,New York,10003,,,,,
480,480.0,480.0,regular,Apartment for rent,https://www.zillow.com/homedetails/215-E-86th-St-APT-5W-New-York-NY-10028/2109404157_zpid/,40.778606,-73.95306,"215 E 86th St APT 5W, New York, NY 10028",215 E 86th St APT 5W,New York,10028,2.0,1.0,750.0,2600.0,
481,481.0,481.0,nested,Apartment for rent,https://www.zillow.com/homedetails/399-E-78th-St-APT-5E-New-York-NY-10075/2109599349_zpid/,40.77163,-73.952866,"399 E 78th St APT 5E, New York, NY 10075",399 E 78th St APT 5E,New York,10075,,,,,
482,482.0,482.0,nested,Apartment for rent,https://www.zillow.com/homedetails/619-E-5th-St-APT-24-New-York-NY-10009/2118028717_zpid/,40.723568,-73.98108,"619 E 5th St APT 24, New York, NY 10009",619 E 5th St APT 24,New York,10009,,,,,
483,483.0,483.0,nested,Apartment for rent,https://www.zillow.com/homedetails/156-E-39th-St-1-New-York-NY-10016/2119599371_zpid/,40.748924,-73.97625,"156 E 39th St #1, New York, NY 10016",156 E 39th St #1,New York,10016,,,,,
484,484.0,484.0,nested,For Rent,/b/319-e-95th-st-new-york-ny-2Fvw/,40.783287,-73.94632,"319 E 95th St, New York, NY",319 E  95th St   Apt 18,New York,10128,,,,,
485,485.0,485.0,nested,Apartment for rent,https://www.zillow.com/homedetails/244-E-79th-St-APT-3C-New-York-NY-10075/2124992835_zpid/,40.773426,-73.95568,"244 E 79th St APT 3C, New York, NY 10075",244 E 79th St APT 3C,New York,10075,,,,,
486,486.0,486.0,regular,Apartment for rent,https://www.zillow.com/homedetails/181-E-119th-St-8K-New-York-NY-10035/2139218193_zpid/,40.80016,-73.938995,"181 E 119th St #8K, New York, NY 10035",181 E 119th St #8K,New York,10035,0.0,1.0,600.0,2600.0,
487,487.0,487.0,nested,Apartment for rent,https://www.zillow.com/homedetails/26-W-131st-St-APT-4D-New-York-NY-10037/344796200_zpid/,40.810543,-73.94087,"26 W 131st St APT 4D, New York, NY 10037",26 W 131st St APT 4D,New York,10037,,,,,
488,488.0,488.0,nested,Apartment for rent,https://www.zillow.com/homedetails/426-E-73rd-St-APT-4FE-New-York-NY-10021/2084105216_zpid/,40.767693,-73.954216,"426 E 73rd St APT 4FE, New York, NY 10021",426 E 73rd St APT 4FE,New York,10021,,,,,
489,489.0,489.0,nested,For Rent,/b/512-east-5th-street-new-york-ny-4PV9/,40.724384,-73.98381,"512 E 5th St, New York, NY",512 E  5th St   Apt 8,New York,10009,,,,,
490,490.0,490.0,nested,For Rent,/b/518-east-5th-street-new-york-ny-4PVD/,40.72428,-73.983574,"518 E 5th St, New York, NY",518 E  5th St   Apt 5,New York,10009,,,,,
491,491.0,491.0,nested,Apartment for rent,https://www.zillow.com/homedetails/230-W-126th-St-18KK-New-York-NY-10027/344797183_zpid/,40.809975,-73.94863,"230 W 126th St #18KK, New York, NY 10027",230 W 126th St #18KK,New York,10027,,,,,
492,492.0,492.0,nested,Apartment for rent,https://www.zillow.com/homedetails/310-E-89th-St-APT-4-New-York-NY-10128/2065556180_zpid/,40.779266,-73.949646,"310 E 89th St APT 4, New York, NY 10128",310 E 89th St APT 4,New York,10128,,,,,
493,493.0,493.0,nested,Apartment for rent,https://www.zillow.com/homedetails/338-W-49th-St-New-York-NY-10019/2107868751_zpid/,40.76229,-73.98863,"338 W 49th St, New York, NY 10019",338 W 49th St,New York,10019,,,,,
494,494.0,494.0,nested,Apartment for rent,https://www.zillow.com/homedetails/536-E-89th-St-APT-3C-New-York-NY-10128/2129418725_zpid/,40.77702,-73.94431,"536 E 89th St APT 3C, New York, NY 10128",536 E 89th St APT 3C,New York,10128,,,,,
495,495.0,495.0,nested,For Rent,/b/520-e-81st-st-new-york-ny-4ccW/,40.77197,-73.94832,"520 E 81st St, New York, NY",520 E  81st St Apt 9J,New York,10028,,,,,
496,496.0,496.0,nested,Apartment for rent,https://www.zillow.com/homedetails/301-76th-St-APT-14-New-York-NY-10021/343953090_zpid/,40.771374,-73.95645,"301 76th St APT 14, New York, NY 10021",301 76th St APT 14,New York,10021,,,,,
497,497.0,497.0,nested,For Rent,/b/221-e-32nd-st-new-york-ny-28bd/,40.744194,-73.977905,"221 E 32nd St, New York, NY",221 E  32nd St # 16A,New York,10016,,,,,
498,498.0,498.0,nested,Apartment for rent,https://www.zillow.com/homedetails/315-E-78th-St-3C-New-York-NY-10075/345033962_zpid/,40.772465,-73.954506,"315 E 78th St #3C, New York, NY 10075",315 E 78th St #3C,New York,10075,,,,,
